TestId,Pillar,Category,Title,RiskLevel,ImplementationCost,Status,AuditResult,Notes
21823,Identity,External collaboration,Guest self-service sign-up via user flow is disabled,Medium,Low,,,
21824,Identity,External collaboration,Guests don't have long lived sign-in sessions,Medium,Low,,,
21825,Identity,Access control,Privileged user sessions don't have long lived sign-in sessions,Medium,Low,,,
21828,Identity,Access control,Secure the MFA registration (My Security Info) page,High,Low,,,
21829,Identity,Access control,Use cloud authentication,High,High,,,
21830,Identity,Application management,Conditional Access policies for Privileged Access Workstations are configured,High,High,,,
21831,Identity,Access control,Conditional Access protected actions are enabled,Medium,Low,,,
21832,Identity,Access control,All groups in CA policies belong to a restricted management administrative unit,Medium,Low,,,
21833,Identity,Privileged access,Directory Sync account credentials haven't been rotated recently,Low,High,,,
21834,Identity,Access control,Directory sync account is locked down to specific named location,Low,Low,,,
21835,Identity,Privileged access,Emergency account exists,Low,Low,,,
21836,Identity,Application management,Workload Identities are not assigned privileged roles,High,Medium,,,
21837,Identity,Device management,Limit the maximum number of devices per user to 10,Low,Low,,,
21838,Identity,Access control,Security key authentication method enabled,Low,Low,,,
21839,Identity,Access control,Passkey authentication method enabled,Low,Low,,,
21840,Identity,Access control,Security key attestation is enforced,Low,Low,,,
21841,Identity,Access control,Authenticator app report suspicious activity is enabled,Low,Low,,,
21842,Identity,Access control,Block administrators from using SSPR,Low,Low,,,
21843,Identity,Access control,Block legacy Microsoft Online PowerShell module,Low,High,,,
21844,Identity,Access control,Block legacy Azure AD PowerShell module,Low,High,,,
21845,Identity,Access control,Temporary access pass is enabled,Low,Low,,,
21846,Identity,Access control,Temporary access pass restricted to one-time use,Low,Low,,,
21847,Identity,Access control,Password protection for on-premises is enabled,High,Medium,,,
21848,Identity,Access control,Enable custom banned passwords,Low,Low,,,
21849,Identity,Access control,Smart lockout duration is set to a minimum of 60,Medium,Low,,,
21850,Identity,Access control,Smart lockout threshold isn't greater than 10,Medium,Low,,,
21851,Identity,External collaboration,Guest access is protected by strong authentication methods,Medium,Medium,,,
21854,Identity,Access control,Privileged roles aren't assigned to stale identities,Medium,Medium,,,
21855,Identity,Access control,Privileged roles have access reviews,Medium,Medium,,,
21857,Identity,Access control,Guest identities are lifecycle managed with access reviews,Medium,Medium,,,
21858,Identity,External collaboration,Inactive guest identities are disabled or removed from the tenant,Medium,Medium,,,
21859,Identity,Access control,GDAP admin least privilege,Medium,Medium,,,
21860,Identity,Monitoring,Diagnostic settings are configured for all Microsoft Entra logs,High,Medium,,,
21861,Identity,Monitoring,All high-risk users are triaged,High,High,,,
21862,Identity,Access control,All risky workload identities are triaged,Medium,High,,,
21863,Identity,Monitoring,All high-risk sign-ins are triaged,High,High,,,
21864,Identity,Access control,All risk detections are triaged,High,High,,,
21865,Identity,Application management,Named locations are configured,Medium,Low,,,
21866,Identity,Monitoring,All Microsoft Entra recommendations are addressed,Medium,Medium,,,
21867,Identity,Access control,All enterprise applications have owners,Low,Medium,,,
21868,Identity,External collaboration,Guests do not own apps in the tenant,Medium,Medium,,,
21869,Identity,Application management,Enterprise applications must require explicit assignment or scoped provisioning,Medium,Medium,,,
21870,Identity,Access control,Enable SSPR,Low,Low,,,
21872,Identity,Access control,Require MFA for device join and device registration,High,Low,,,
21874,Identity,External collaboration,Allow/Deny lists of domains to restrict external collaboration are configured,Medium,Medium,,,
21875,Identity,Access control,Tenant has all External organizations allowed to collaborate as Connected Organization,Medium,Medium,,,
21876,Identity,Access control,Use PIM for Microsoft Entra privileged roles,Medium,Low,,,
21877,Identity,Application management,All guests have a sponsor,Medium,Medium,,,
21878,Identity,Access control,All entitlement management policies have an expiration date,Medium,Medium,,,
21879,Identity,Access control,All entitlement management policies that apply to External users require approval,Medium,Medium,,,
21881,Identity,Access control,Azure subscriptions used by Identity Governance are secured consistently,High,Medium,,,
21882,Identity,Access control,No nested groups in PIM for groups,Medium,Medium,,,
21883,Identity,Access control,Workload Identities are configured with risk-based policies,Medium,Low,,,
21884,Identity,Access control,Workload identities based on known networks are configured,Medium,Medium,,,
21885,Identity,Application management,App registrations use safe redirect URIs,High,High,,,
21886,Identity,Access control,Applications that use Entra for authentication and support provisioning are configured,Medium,Medium,,,
21887,Identity,Access control,All registered redirect URIs must have proper DNS records and ownerships,Medium,Medium,,,
21888,Identity,Application management,App registrations must not have dangling or abandoned domain redirect URIs,High,Low,,,
21889,Identity,Access control,Reduce the user-visible password surface area,Low,Medium,,,
21890,Identity,Access control,Require password reset notifications for user roles,Medium,Low,,,
21891,Identity,Access control,Require password reset notifications for administrator roles,High,Low,,,
21892,Identity,Access control,All sign-in activity comes from managed devices,Medium,High,,,
21893,Identity,Access control,Enable Entra ID Protection policy to enforce MFA registration,Low,Medium,,,
21894,Identity,Access control,All certificates must be issued by an approved certification authority,Low,Medium,,,
21895,Identity,Access control,Application Certificate Credentials are managed using HSM,Low,High,,,
21896,Identity,Access control,Service principals don't have certificates or credentials associated with them,Medium,Medium,,,
21897,Identity,Access control,All app assignment and group membership is governed,Medium,High,,,
21898,Identity,Access control,All supported access lifecycle resources are managed with entitlement management packages,Medium,High,,,
21899,Identity,Access control,All privileged role assignments have a recipient that can receive notifications,Medium,Low,,,
21912,Identity,Access control,Azure resources used by Entra only allow access from privileged roles,High,Low,,,
21929,Identity,Access control,All entitlement management packages for guests have expirations or access reviews,Medium,Medium,,,
21941,Identity,Access control,Token protection policies are configured,Medium,Medium,,,
21953,Identity,Access control,Local Admin Password Solution is deployed,Low,Low,,,
21954,Identity,Access control,Restrict nonadministrator users from recovering BitLocker keys,Low,Low,,,
21955,Identity,Access control,Manage the local administrators on Entra joined devices,Low,Low,,,
21964,Identity,Access control,Enable protected actions to secure CA policy creation and changes,Low,Low,,,
21983,Identity,Access control,No Active Medium priority Entra recommendations found,Medium,Low,,,
21984,Identity,Access control,No Active low priority Entra recommendations found,Low,Low,,,
21985,Identity,Credential management,Turn off Seamless SSO if there is no usage,Medium,Low,,,
21992,Identity,Application management,Application certificates must be rotated on a regular basis,High,High,,,
22072,Identity,Access control,Self-Service Password Reset does not use Q and A,Medium,Medium,,,
22098,Identity,Access control,Integrate Entra Audit logs with Azure Monitor,Medium,Low,,,
22099,Identity,Access control,Integrate Entra Sign-In logs with Azure Monitor,Medium,Low,,,
22100,Identity,Access control,Enable WAF for ciamlogin endpoints,High,Medium,,,
22101,Identity,Access control,Disable ciamlogin endpoints when custom domain enabled,High,Medium,,,
22102,Identity,Access control,Enable custom domain,High,Medium,,,
22124,Identity,Monitoring,High priority Microsoft Entra recommendations are addressed,High,Medium,,,
22128,Identity,Application management,Guests are not assigned high privileged directory roles,High,Medium,,,
22659,Identity,Access control,All risky workload identity sign ins are triaged,High,High,,,
23183,Identity,Application management,Service principals use safe redirect URIs,High,High,,,
24518,Identity,Application management,Enterprise applications have owners,Medium,Medium,,,
24540,Devices,Device management,Windows Firewall policy is created and assigned,High,Low,,,
24541,Devices,Device management,A compliance policy for Windows devices exists,High,Low,,,
24542,Devices,Device management,macOS Compliance policy is created and assigned,High,Low,,,
24543,Devices,Device management,Compliance policy assignment for iOS/iPadOS devices,High,Low,,,
24545,Devices,Device management,Compliance policy for Android Enterprise Fully managed device is configured,High,Low,,,
24546,Devices,Device management,Compliance Policy for Android Enterprise Personally-Owned Work Profile,High,Low,,,
24547,Devices,Device management,Compliance Policy for Android Enterprise Personally-Owned Work Profile is configured and assigned,High,Low,,,
24548,Devices,Device management,App Protection Policy assigned on iOS/iPad devices,High,Low,,,
24549,Devices,Device management,An App protection policy for Android platform exists in Intune,High,Low,,,
24550,Devices,Device management,Windows - BitLocker Policy is created and assigned,High,High,,,
24551,Devices,Device management,Windows Hello for Business Policy is Configured and Assigned,High,Medium,,,
24552,Devices,Device management,macOS - Firewall policy is created and assigned,Medium,High,,,
24553,Devices,Device management,Windows Update policy is assigned and enforced,High,Medium,,,
24554,Devices,Device management,iOS - Update policy is configured and assigned,High,High,,,
24555,Devices,Device management,Intune Scope Tags are Configured for Delegated Administration,High,High,,,
24560,Devices,Device management,Windows Cloud LAPS policy is created and assigned,High,Low,,,
24564,Devices,Device management,Windows - Local Account Protection policy is configured and assigned,High,High,,,
24568,Devices,Device management,macOS - Platform SSO is configured and assigned,High,High,,,
24569,Devices,Device management,Intune macOS FileVault policy is created and Assigned,High,Low,,,
24572,Devices,Device management,Device enrollment notification is configured and assigned,High,High,,,
24573,Devices,Device management,Windows - A security baseline is configured and assigned,High,High,,,
24574,Devices,Device management,Deploy Attack Surface Reduction Policies (ASR) for Windows devices,High,Low,,,
24575,Devices,Device management,A Windows Defender Antivirus policy is created and assigned,High,Low,,,
24576,Devices,Device management,Intune Endpoint Analytics policy is created and Assigned,Low,Low,,,
24690,Devices,Device management,macOS - Update policy is configured and assigned,High,High,,,
24784,Devices,Device management,A Microsoft Defender Antivirus policy is created and assigned for macOS,High,Low,,,
24794,Devices,Device management,Intune Terms and Conditions Policy is configured and assigned,High,High,,,
24802,Devices,Device management,Device Clean-up Rule is Created,High,High,,,
24823,Devices,Tenant,Company Portal branding and support settings enhance user experience,Medium,Medium,,,
24824,Devices,Data,Conditional Access policies block access from noncompliant devices,High,Medium,,,
24827,Devices,Data,Conditional Access policies block access from unmanaged apps,High,Medium,,,
24839,Devices,Data,Secure Wi-Fi profiles protect iOS devices,High,Medium,,,
24840,Devices,Data,Secure Wi-Fi profiles protect Android devices,High,Medium,,,
24870,Devices,Data,Secure Wi-Fi profiles protect macOS devices,High,Medium,,,
24871,Devices,Tenant,Defender for Endpoint automatic enrollment is enforced for Android,High,Medium,,,
25370,Network,Network,Source IP restoration is enabled,Medium,Low,,,
25371,Network,Global Secure Access,Universal Continuous Access Evaluation is enabled for network access,High,Medium,,,
25372,Network,Global Secure Access,Global Secure Access client is deployed on all managed endpoints,High,Medium,,,
25375,Network,Global Secure Access,Global Secure Access licenses are available and assigned to users,High,Low,,,
25376,Network,Network security,Microsoft 365 traffic is actively flowing through Global Secure Access,High,Medium,,,
25377,Network,Global Secure Access,Universal tenant restrictions block unauthorized external tenant access,High,Medium,,,
25378,Network,External Identities,External collaboration is governed by explicit Cross-Tenant Access Policies,High,Medium,,,
25379,Network,Global Secure Access,Conditional Access policies use compliant network controls,Medium,Medium,,,
25381,Network,Global Secure Access,Network traffic is routed through GSA for security policy enforcement,High,Medium,,,
25382,Network,Global Secure Access,Traffic forwarding profiles are scoped to appropriate users/groups,High,Medium,,,
25383,Network,Global Secure Access,Administrative privileges are tightly limited to prevent compromise,High,Low,,,
25384,Network,Role management,Application admin rights are constrained to specific Private Access apps,High,Medium,,,
25391,Network,Global Secure Access,Private network connectors are active and healthy,Medium,Low,,,
25392,Network,Private Access,Private network connectors are running the latest version,Medium,Low,,,
25394,Network,Global Secure Access,Quick Access is bound to a Conditional Access policy,High,Medium,,,
25395,Network,Global Secure Access,Entra Private Access Application segments are defined for least-privilege,High,Medium,,,
25396,Network,Global Secure Access,CA policies enforce strong authentication for private apps,High,Medium,,,
25398,Network,Global Secure Access,Domain controller RDP access is protected by phishing-resistant auth via GSA,High,High,,,
25399,Network,Global Secure Access,Private DNS is configured for internal name resolution,Medium,Medium,,,
25401,Network,Application Proxy,Application Proxy applications require preauthentication,High,Medium,,,
25403,Network,Global Secure Access,Private Access sensors enforce strong auth on domain controllers,High,High,,,
25405,Network,Global Secure Access,Intelligent Local Access is enabled and configured,Medium,Low,,,
25406,Network,Global Secure Access,Internet access forwarding profile is enabled,High,Medium,,,
25407,Network,Global Secure Access,Web content filtering integrates with Conditional Access,High,Medium,,,
25408,Network,Global Secure Access,Web content filtering policies are configured,Medium,Medium,,,
25409,Network,Global Secure Access,Web content filtering uses category-based rules,Medium,Medium,,,
25410,Network,Global Secure Access,Web content filtering policies are linked to security profiles,Medium,Medium,,,
25411,Network,Global Secure Access,TLS inspection is enabled and correctly configured for outbound traffic,High,High,,,
25415,Network,Global Secure Access,AI Gateway protects enterprise generative AI apps from prompt injection,High,High,,,
25416,Network,Global Secure Access,GSA cloud firewall protects branch office internet traffic,High,High,,,
25419,Network,Global Secure Access,Network access activity is visible for threat detection and response,Medium,Medium,,,
25420,Network,Global Secure Access,Network access logs are retained for security analysis and compliance,High,Medium,,,
25422,Network,Global Secure Access,Global Secure Access deployment logs are populated and reviewed,Medium,Low,,,
25480,Network,Global Secure Access,Quick Access has user or group assignments,Medium,Low,,,
25481,Network,Global Secure Access,All Private Access apps have user or group assignments,High,Medium,,,
25533,Network,Azure Network Security,DDoS Protection is enabled for all Public IP Addresses in VNETs,High,High,,,
25535,Network,Azure Network Security,Outbound traffic from VNET workloads is routed through Azure Firewall,High,High,,,
25537,Network,Azure Network Security,Threat intelligence is Enabled in Deny Mode on Azure Firewall,High,Medium,,,
25539,Network,Azure Network Security,IDPS Inspection is Enabled in Deny Mode on Azure Firewall,High,Medium,,,
25541,Network,Azure Network Security,Application Gateway WAF is Enabled in Prevention mode,High,Medium,,,
25543,Network,Azure Network Security,Azure Front Door WAF is Enabled in Prevention Mode,High,Medium,,,
25550,Network,Azure Network Security,Inspection of Outbound TLS Traffic is Enabled on Azure Firewall,High,High,,,
26879,Network,Azure Network Security,Request Body Inspection is enabled in Application Gateway WAF,High,Medium,,,
26883,Network,Azure Network Security,Default Ruleset is assigned in Azure Front Door WAF,High,Medium,,,
26884,Network,Azure Network Security,Bot protection ruleset is enabled in Azure Front Door WAF,High,Medium,,,
26886,Network,Azure Network Security,Diagnostic logging is enabled for DDoS-protected public IPs,Medium,Low,,,
26887,Network,Azure Network Security,Diagnostic logging is enabled in Azure Firewall,High,Medium,,,
26888,Network,Azure Network Security,Diagnostic logging is enabled in Application Gateway WAF,High,Medium,,,
26889,Network,Azure Network Security,Diagnostic logging is enabled in Azure Front Door WAF,High,Medium,,,
27001,Network,Global Secure Access,TLS inspection bypass policies are regularly reviewed,Medium,Low,,,
27003,Network,Global Secure Access,TLS inspection failure rate remains below 1%,High,Medium,,,
27004,Network,Global Secure Access,Custom TLS inspection bypass rules don't duplicate system bypass destinations,Low,Low,,,
27016,Network,Azure Network Security,Rate Limiting is Enabled in Application Gateway WAF,High,Medium,,,
27017,Network,Azure Network Security,JavaScript Challenge is Enabled in Application Gateway WAF,Medium,Medium,,,
27018,Network,Azure Network Security,Rate Limiting is Enabled in Azure Front Door WAF,High,Medium,,,
27019,Network,Azure Network Security,JavaScript Challenge is Enabled in Azure Front Door WAF,Medium,Medium,,,
27020,Network,Azure Network Security,CAPTCHA challenge is enabled in Azure Front Door WAF,Medium,Medium,,,
35001,Data,Entra,Conditional Access policies don't exclude Rights Management workloads,High,Medium,,,
35002,Data,Identity,Cross-tenant access settings configured to allow encrypted content sharing,High,Medium,,,
35003,Data,Sensitivity Labels,Sensitivity labels are configured,High,Low,,,
35004,Data,Sensitivity Labels,Sensitivity label policies are published to users,Low,Low,,,
35005,Data,SharePoint Online,Sensitivity labels are enabled in SharePoint Online,High,Low,,,
35006,Data,SharePoint Online,PDF labeling is enabled in SharePoint Online,Medium,Low,,,
35007,Data,SharePoint Online,Information Rights Management is enabled in SharePoint Online,Low,Low,,,
35008,Data,SharePoint Online,A default sensitivity label is configured for SharePoint document libraries,Medium,Medium,,,
35009,Data,Sensitivity Labels,Co-authoring is enabled for encrypted documents,Low,Low,,,
35010,Data,Encryption,Double Key Encryption labels are configured,Low,High,,,
35011,Data,Advanced Label Features,Superuser membership is configured for Purview Information Protection,Medium,Medium,,,
35012,Data,Sensitivity Labels,Container labels are configured for Teams groups and sites,Medium,Medium,,,
35013,Data,Sensitivity Labels,Sensitivity labels with encryption are configured,High,Medium,,,
35014,Data,Label Policy,Email label policies inherit sensitivity from attachments,Medium,Low,,,
35015,Data,Sensitivity Labels,Globally published sensitivity labels don't exceed recommended max,Medium,Low,,,
35016,Data,Information Protection,Mandatory labeling is enabled in sensitivity label policies,High,Medium,,,
35017,Data,Information Protection,A default sensitivity label is configured in label policies,Medium,Low,,,
35018,Data,Information Protection,Users must justify to downgrade sensitivity labels,Medium,Low,,,
35019,Data,Information Protection,Auto-labeling policies are configured for all workloads,High,High,,,
35020,Data,Information Protection,Auto-labeling policies are in enforcement mode,High,Medium,,,
35021,Data,Information Protection,Auto-labeling policies are enabled for SharePoint and OneDrive,High,Medium,,,
35022,Data,Information Protection,On-demand scans are configured for sensitive information discovery,Medium,Medium,,,
35023,Data,Information Protection,OCR is enabled for sensitive information detection,Medium,Medium,,,
35024,Data,Rights Management,Azure Rights Management licensing is enabled,High,Low,,,
35025,Data,Rights Management,Internal Rights Management licensing is enabled,High,Low,,,
35026,Data,OME,Office 365 Message Encryption is configured with simplified client access,Medium,Low,,,
35027,Data,Information Protection,Custom branding templates for Office 365 Message Encryption,Low,Low,,,
35028,Data,Information Protection,Email retention policies are configured,Medium,Medium,,,
35029,Data,Information Protection,Mail flow rules apply rights protection to sensitive messages,Medium,Medium,,,
35030,Data,DLP,Data loss prevention policies are enabled,High,Medium,,,
35032,Data,DLP,Adaptive Protection is enabled in DLP policies,Medium,Medium,,,
35033,Data,Advanced Classification,Custom sensitive information types are configured,High,Medium,,,
35034,Data,Advanced Classification,Exact Data Match is configured for sensitive information detection,High,High,,,
35035,Data,Advanced Classification,Named entity SITs used in autolabeling and DLP policies,High,Medium,,,
35036,Data,Advanced Classification,Trainable classifiers are used in DLP and autolabeling policies,Medium,Medium,,,
35037,Data,Data Security Posture,Purview audit logging is enabled,High,Low,,,
35038,Data,Data Security Posture,Insider Risk Management policies are enabled for risky AI usage,High,Medium,,,
35039,Data,Data Security Posture,Communication compliance monitoring for Microsoft Copilot,High,Medium,,,
35040,Data,Data Security Posture,Communication compliance monitoring for enterprise AI tools,High,Medium,,,
